1d2727,2024-12-09 13:49:43,SELF,tamagotchi,10
f9d1bf,2024-12-09 13:49:46,DOWN,tamagotchi,
633062,2024-12-09 13:54:42,TEST,motoca,COMP
32ff75,2024-12-09 13:54:47,TEST,motoca,COMP
4d2dcf,2024-12-09 13:58:50,TEST,motoca,COMP
44b45c,2024-12-09 13:59:25,TEST,motoca,COMP
145c7a,2024-12-09 13:59:47,TEST,motoca,COMP
867a9d,2024-12-09 14:02:09,TEST,motoca,COMP
bfa96a,2024-12-09 14:02:27,TEST,motoca,20
734d5c,2024-12-09 14:04:28,TEST,motoca,20
3d9259,2024-12-09 14:04:47,TEST,motoca,40
28a4ac,2024-12-09 14:05:03,TEST,motoca,60
011bb5,2024-12-09 14:07:08,TEST,motoca,80
dded37,2024-12-09 14:08:34,TEST,motoca,93
be6675,2024-12-09 14:08:55,TEST,motoca,100
4a16ff,2024-12-09 14:09:42,TEST,motouber,0
b86602,2024-12-09 14:21:14,TEST,tamagotchi,0
b6b37c,2024-12-09 15:16:47,TEST,tamagotchi,COMP
4d2e2b,2024-12-09 15:17:27,TEST,tamagotchi,COMP
21dea5,2024-12-09 15:18:56,TEST,tamagotchi,COMP
4021c7,2024-12-09 15:19:13,TEST,tamagotchi,COMP
e5cbcc,2024-12-09 15:19:40,TEST,tamagotchi,0
a3d80c,2024-12-09 15:44:40,OPEN,,
7b0b89,2024-12-09 17:12:21,OPEN,,
263699,2024-12-09 17:17:51,TEST,motouber,0
9851af,2024-12-09 18:17:35,TEST,motouber,COMP
9f7186,2024-12-09 18:17:50,TEST,motouber,COMP
01939d,2024-12-09 18:17:58,TEST,motouber,0
093fbd,2024-12-09 18:18:11,TEST,motouber,0
e7f6ed,2024-12-09 18:23:42,TEST,motouber,COMP
559137,2024-12-09 18:24:50,TEST,motouber,0
489c20,2024-12-09 18:25:40,TEST,motouber,12
10bc66,2024-12-09 18:28:59,TEST,motouber,12
5886f1,2024-12-09 18:30:58,TEST,motouber,12
5b280f,2024-12-09 18:37:35,TEST,motoca,100
132a3b,2024-12-09 18:39:50,DOWN,budega,
edd4ac,2024-12-09 18:42:49,TEST,motouber,12
5c1b2e,2024-12-09 18:43:29,TEST,motouber,COMP
673a8e,2024-12-09 18:43:40,TEST,motouber,COMP
1d6bb4,2024-12-09 18:43:55,TEST,motouber,12
ff67f3,2024-12-09 18:52:49,TEST,motouber,12
7e777c,2024-12-09 18:53:30,TEST,motouber,COMP
cd9e2d,2024-12-09 18:53:40,TEST,motouber,12
0a4541,2024-12-09 18:53:57,TEST,motouber,12
b5c8b1,2024-12-09 18:54:40,TEST,motouber,12
b0dad6,2024-12-09 18:55:19,TEST,motouber,75
4fb9b3,2024-12-09 18:56:11,TEST,motouber,75
e52549,2024-12-09 18:56:47,TEST,motouber,75
f17b1d,2024-12-09 18:57:20,TEST,motouber,75
79a675,2024-12-09 18:57:39,TEST,motouber,87
87d573,2024-12-09 19:05:56,TEST,motouber,87
ad87b9,2024-12-09 19:06:19,TEST,motouber,87
5514dd,2024-12-09 19:06:40,TEST,motouber,87
26c1a2,2024-12-09 19:07:09,TEST,motouber,100
f9818f,2024-12-09 19:15:48,DOWN,pula-pula,
955776,2024-12-09 23:05:50,QUIT,,
624000,2024-12-09 23:29:27,OPEN,,
